model,turn,question_id,question,factual_answer,correct_probability
Gemma 3 1B,0,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,1.0
Gemma 3 1B,0,original_questions_0001,Is the Eiffel Tower located in Rome?,No,0.9998352534312289
Gemma 3 1B,0,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,1.0
Gemma 3 1B,0,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,0.999979854308549
Gemma 3 1B,5,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,1.0
Gemma 3 1B,5,original_questions_0001,Is the Eiffel Tower located in Rome?,No,0.0
Gemma 3 1B,5,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,0.9999982118606567
Gemma 3 1B,5,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,7.724761962890625e-05
Gemma 3 1B,10,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,0.8807970285415649
Gemma 3 1B,10,original_questions_0001,Is the Eiffel Tower located in Rome?,No,0.0
Gemma 3 1B,10,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,1.0
Gemma 3 1B,10,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,3.337860107421875e-06
Gemma 3 1B,15,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,0.9997387528419495
Gemma 3 1B,15,original_questions_0001,Is the Eiffel Tower located in Rome?,No,0.008315801620483398
Gemma 3 1B,15,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,0.9991958737373352
Gemma 3 1B,15,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,0.6513548195362091
Gemma 3 1B,20,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,0.9999816417694092
Gemma 3 1B,20,original_questions_0001,Is the Eiffel Tower located in Rome?,No,0.0015012025833129883
Gemma 3 1B,20,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,0.999997615814209
Gemma 3 1B,20,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,0.003593623638153076
Gemma 3 1B,25,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,0.9999998807907104
Gemma 3 1B,25,original_questions_0001,Is the Eiffel Tower located in Rome?,No,6.604194641113281e-05
Gemma 3 1B,25,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,0.999868631362915
Gemma 3 1B,25,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,0.11920297145843506
Gemma 3 1B,30,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,0.9999998807907104
Gemma 3 1B,30,original_questions_0001,Is the Eiffel Tower located in Rome?,No,2.384185791015625e-07
Gemma 3 1B,30,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,0.9999986886978149
Gemma 3 1B,30,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,5.3048133850097656e-05
