turn,question_set,answer_type,question_id,question,forced_answer,score,model
0,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,8.096640972415324,Gemma 3 1B
0,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,-8.232635662984245,Gemma 3 1B
0,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-11.610375795091471,Gemma 3 1B
0,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,12.227583920108994,Gemma 3 1B
0,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,2.9902878050813606,Gemma 3 1B
0,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,-3.5200848908859124,Gemma 3 1B
0,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-7.774905693677691,Gemma 3 1B
0,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,1.674228501532396,Gemma 3 1B
0,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,12.009751569796604,Gemma 3 1B
0,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-9.286443979150174,Gemma 3 1B
0,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-10.034243798475556,Gemma 3 1B
0,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,6.579616281198534,Gemma 3 1B
0,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,-1.45219574904459,Gemma 3 1B
0,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,-1.9278524730511526,Gemma 3 1B
0,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,15.59627385299873,Gemma 3 1B
0,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-9.6579537360308,Gemma 3 1B
5,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,2.400382280102747,Gemma 3 1B
5,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,-2.302345552272657,Gemma 3 1B
5,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,0.7963696838343689,Gemma 3 1B
5,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,-1.7959311002701843,Gemma 3 1B
5,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,-0.8472561987797748,Gemma 3 1B
5,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,-2.6525489095208536,Gemma 3 1B
5,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-4.830540925125022,Gemma 3 1B
5,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,-2.72583132118252,Gemma 3 1B
5,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,8.429746156263072,Gemma 3 1B
5,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-1.585704594293288,Gemma 3 1B
5,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-3.1221625309017593,Gemma 3 1B
5,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,-2.2221264007787336,Gemma 3 1B
