subset,target,subgroup,n,accuracy,balanced_accuracy,roc_auc,tn,fp,fn,tp,bootstrap_valid_repetitions,balanced_accuracy_ci_low,balanced_accuracy_ci_high,roc_auc_ci_low,roc_auc_ci_high
heldout_topics,factuality,overall,80,0.5125,0.5125,0.5525,20,20,19,21,2000,0.5,0.525,0.5,0.605
heldout_topics,factuality,frame=normal,40,0.525,0.525,0.575,10,10,9,11,,,,,
heldout_topics,factuality,frame=roleplay,40,0.5,0.5,0.56,10,10,10,10,,,,,
heldout_topics,roleplay,overall,80,1.0,1.0,1.0,40,0,0,40,2000,1.0,1.0,1.0,1.0
heldout_topics,roleplay,factuality=factual,40,1.0,1.0,1.0,20,0,0,20,,,,,
heldout_topics,roleplay,factuality=nonfactual,40,1.0,1.0,1.0,20,0,0,20,,,,,
heldout_wording,factuality,overall,48,0.6875,0.6875,0.8125,13,11,4,20,2000,0.6041666666666666,0.75,0.7309027777777778,0.9375
heldout_wording,factuality,frame=normal,24,0.8333333333333334,0.8333333333333334,0.7916666666666667,10,2,2,10,,,,,
heldout_wording,factuality,frame=roleplay,24,0.5416666666666666,0.5416666666666667,0.8472222222222222,3,9,2,10,,,,,
heldout_wording,roleplay,overall,48,0.5833333333333334,0.5833333333333334,0.5833333333333334,8,16,4,20,2000,0.5,0.75,0.5729166666666667,0.7500000000000001
heldout_wording,roleplay,factuality=factual,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,4,8,2,10,,,,,
heldout_wording,roleplay,factuality=nonfactual,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,4,8,2,10,,,,,
joint_generalization,factuality,overall,16,0.5,0.5,0.546875,3,5,3,5,2000,0.5,0.5,0.5,0.6875
joint_generalization,factuality,frame=normal,8,0.5,0.5,0.5625,2,2,2,2,,,,,
joint_generalization,factuality,frame=roleplay,8,0.5,0.5,0.5625,1,3,1,3,,,,,
joint_generalization,roleplay,overall,16,0.5,0.5,0.75,0,8,0,8,2000,0.5,0.5,0.75,1.0
joint_generalization,roleplay,factuality=factual,8,0.5,0.5,0.75,0,4,0,4,,,,,
joint_generalization,roleplay,factuality=nonfactual,8,0.5,0.5,0.75,0,4,0,4,,,,,
validation_heldout_wording_descriptive,factuality,overall,16,0.5625,0.5625,0.71875,3,5,2,6,2000,0.5,0.625,0.71875,0.75
validation_heldout_wording_descriptive,factuality,frame=normal,8,0.625,0.625,0.75,2,2,1,3,,,,,
validation_heldout_wording_descriptive,factuality,frame=roleplay,8,0.5,0.5,0.6875,1,3,1,3,,,,,
validation_heldout_wording_descriptive,roleplay,overall,16,0.5625,0.5625,0.6875,5,3,4,4,2000,0.5,0.625,0.6875,0.875
validation_heldout_wording_descriptive,roleplay,factuality=factual,8,0.625,0.625,0.75,3,1,2,2,,,,,
validation_heldout_wording_descriptive,roleplay,factuality=nonfactual,8,0.5,0.5,0.625,2,2,2,2,,,,,
