turn,question_set,answer_type,question_id,score
0,Generic,factual,g1,27
0,Generic,factual,g2,31
0,Generic,nonfactual,g1,-45
0,Generic,nonfactual,g2,-49
0,Context-relevant,factual,t1,9
0,Context-relevant,factual,t2,4
0,Context-relevant,nonfactual,t1,-18
0,Context-relevant,nonfactual,t2,-24
2,Generic,factual,g1,25
2,Generic,factual,g2,29
2,Generic,nonfactual,g1,-44
2,Generic,nonfactual,g2,-47
2,Context-relevant,factual,t1,-16
2,Context-relevant,factual,t2,-21
2,Context-relevant,nonfactual,t1,-10
2,Context-relevant,nonfactual,t2,-7
4,Generic,factual,g1,23
4,Generic,factual,g2,27
4,Generic,nonfactual,g1,-43
4,Generic,nonfactual,g2,-46
4,Context-relevant,factual,t1,-21
4,Context-relevant,factual,t2,-27
4,Context-relevant,nonfactual,t1,-6
4,Context-relevant,nonfactual,t2,-2
8,Generic,factual,g1,22
8,Generic,factual,g2,25
8,Generic,nonfactual,g1,-42
8,Generic,nonfactual,g2,-45
8,Context-relevant,factual,t1,-17
8,Context-relevant,factual,t2,-12
8,Context-relevant,nonfactual,t1,0
8,Context-relevant,nonfactual,t2,3
12,Generic,factual,g1,20
12,Generic,factual,g2,24
12,Generic,nonfactual,g1,-40
12,Generic,nonfactual,g2,-44
12,Context-relevant,factual,t1,-19
12,Context-relevant,factual,t2,-14
12,Context-relevant,nonfactual,t1,-1
12,Context-relevant,nonfactual,t2,4
