run,condition,accuracy,generic_empty_accuracy
0,Generic Qs (empty),0.5,0.5
0,Generic Qs (chakras),0.5,0.5
0,Consciousness Qs (empty),0.16666666666666666,0.5
0,Consciousness Qs (consciousness),0.16666666666666666,0.5
0,Chakras Qs (empty),0.5,0.5
0,Chakras Qs (chakras),0.5833333333333334,0.5
1,Generic Qs (empty),0.5,0.5
1,Generic Qs (chakras),0.5,0.5
1,Consciousness Qs (empty),0.8333333333333334,0.5
1,Consciousness Qs (consciousness),0.8333333333333334,0.5
1,Chakras Qs (empty),0.4166666666666667,0.5
1,Chakras Qs (chakras),0.5,0.5
2,Generic Qs (empty),0.5,0.5
2,Generic Qs (chakras),0.5,0.5
2,Consciousness Qs (empty),0.16666666666666666,0.5
2,Consciousness Qs (consciousness),0.16666666666666666,0.5
2,Chakras Qs (empty),0.4166666666666667,0.5
2,Chakras Qs (chakras),0.5,0.5
3,Generic Qs (empty),0.5,0.5
3,Generic Qs (chakras),0.5,0.5
3,Consciousness Qs (empty),0.8333333333333334,0.5
3,Consciousness Qs (consciousness),0.8333333333333334,0.5
3,Chakras Qs (empty),0.5,0.5
3,Chakras Qs (chakras),0.6666666666666666,0.5
4,Generic Qs (empty),0.5,0.5
4,Generic Qs (chakras),0.5,0.5
4,Consciousness Qs (empty),0.16666666666666666,0.5
4,Consciousness Qs (consciousness),0.16666666666666666,0.5
4,Chakras Qs (empty),0.5833333333333334,0.5
4,Chakras Qs (chakras),0.5,0.5
5,Generic Qs (empty),0.5,0.5
5,Generic Qs (chakras),0.5,0.5
5,Consciousness Qs (empty),0.8333333333333334,0.5
5,Consciousness Qs (consciousness),0.8333333333333334,0.5
5,Chakras Qs (empty),0.5,0.5
5,Chakras Qs (chakras),0.5,0.5
6,Generic Qs (empty),0.5,0.5
6,Generic Qs (chakras),0.5,0.5
6,Consciousness Qs (empty),0.8333333333333334,0.5
6,Consciousness Qs (consciousness),0.8333333333333334,0.5
6,Chakras Qs (empty),0.5833333333333334,0.5
6,Chakras Qs (chakras),0.5,0.5
7,Generic Qs (empty),0.5,0.5
7,Generic Qs (chakras),0.5,0.5
7,Consciousness Qs (empty),0.5,0.5
7,Consciousness Qs (consciousness),0.4166666666666667,0.5
7,Chakras Qs (empty),0.5833333333333334,0.5
7,Chakras Qs (chakras),0.5,0.5
8,Generic Qs (empty),0.5,0.5
8,Generic Qs (chakras),0.5,0.5
8,Consciousness Qs (empty),0.16666666666666666,0.5
8,Consciousness Qs (consciousness),0.16666666666666666,0.5
8,Chakras Qs (empty),0.5,0.5
8,Chakras Qs (chakras),0.5,0.5
9,Generic Qs (empty),0.5,0.5
9,Generic Qs (chakras),0.25,0.5
9,Consciousness Qs (empty),0.8333333333333334,0.5
9,Consciousness Qs (consciousness),0.8333333333333334,0.5
9,Chakras Qs (empty),0.75,0.5
9,Chakras Qs (chakras),0.75,0.5
10,Generic Qs (empty),0.5,0.5
10,Generic Qs (chakras),0.5,0.5
10,Consciousness Qs (empty),0.8333333333333334,0.5
10,Consciousness Qs (consciousness),0.8333333333333334,0.5
10,Chakras Qs (empty),0.5,0.5
10,Chakras Qs (chakras),0.5,0.5
11,Generic Qs (empty),0.5,0.5
11,Generic Qs (chakras),0.5,0.5
11,Consciousness Qs (empty),0.16666666666666666,0.5
11,Consciousness Qs (consciousness),0.16666666666666666,0.5
11,Chakras Qs (empty),0.5,0.5
11,Chakras Qs (chakras),0.5,0.5
12,Generic Qs (empty),0.625,0.625
12,Generic Qs (chakras),0.5,0.625
12,Consciousness Qs (empty),0.16666666666666666,0.625
12,Consciousness Qs (consciousness),0.16666666666666666,0.625
12,Chakras Qs (empty),0.5,0.625
12,Chakras Qs (chakras),0.5,0.625
13,Generic Qs (empty),0.5,0.5
13,Generic Qs (chakras),0.625,0.5
13,Consciousness Qs (empty),0.16666666666666666,0.5
13,Consciousness Qs (consciousness),0.16666666666666666,0.5
13,Chakras Qs (empty),0.6666666666666666,0.5
13,Chakras Qs (chakras),0.4166666666666667,0.5
14,Generic Qs (empty),0.5,0.5
14,Generic Qs (chakras),0.5,0.5
14,Consciousness Qs (empty),0.16666666666666666,0.5
14,Consciousness Qs (consciousness),0.4166666666666667,0.5
14,Chakras Qs (empty),0.5,0.5
14,Chakras Qs (chakras),0.6666666666666666,0.5
15,Generic Qs (empty),0.5,0.5
15,Generic Qs (chakras),0.5,0.5
15,Consciousness Qs (empty),0.8333333333333334,0.5
15,Consciousness Qs (consciousness),0.8333333333333334,0.5
15,Chakras Qs (empty),0.5,0.5
15,Chakras Qs (chakras),0.5,0.5
16,Generic Qs (empty),0.5,0.5
16,Generic Qs (chakras),0.5,0.5
16,Consciousness Qs (empty),0.16666666666666666,0.5
16,Consciousness Qs (consciousness),0.16666666666666666,0.5
16,Chakras Qs (empty),0.5,0.5
16,Chakras Qs (chakras),0.5,0.5
17,Generic Qs (empty),0.5,0.5
17,Generic Qs (chakras),0.5,0.5
17,Consciousness Qs (empty),0.8333333333333334,0.5
17,Consciousness Qs (consciousness),0.8333333333333334,0.5
17,Chakras Qs (empty),0.5,0.5
17,Chakras Qs (chakras),0.5,0.5
18,Generic Qs (empty),0.5,0.5
18,Generic Qs (chakras),0.5,0.5
18,Consciousness Qs (empty),0.8333333333333334,0.5
18,Consciousness Qs (consciousness),0.8333333333333334,0.5
18,Chakras Qs (empty),0.4166666666666667,0.5
18,Chakras Qs (chakras),0.5,0.5
19,Generic Qs (empty),0.5,0.5
19,Generic Qs (chakras),0.5,0.5
19,Consciousness Qs (empty),0.8333333333333334,0.5
19,Consciousness Qs (consciousness),0.8333333333333334,0.5
19,Chakras Qs (empty),0.5,0.5
19,Chakras Qs (chakras),0.5,0.5
20,Generic Qs (empty),0.5,0.5
20,Generic Qs (chakras),0.5,0.5
20,Consciousness Qs (empty),0.16666666666666666,0.5
20,Consciousness Qs (consciousness),0.16666666666666666,0.5
20,Chakras Qs (empty),0.5,0.5
20,Chakras Qs (chakras),0.5,0.5
21,Generic Qs (empty),0.5,0.5
21,Generic Qs (chakras),0.5,0.5
21,Consciousness Qs (empty),0.25,0.5
21,Consciousness Qs (consciousness),0.16666666666666666,0.5
21,Chakras Qs (empty),0.5833333333333334,0.5
21,Chakras Qs (chakras),0.5,0.5
22,Generic Qs (empty),0.5,0.5
22,Generic Qs (chakras),0.5,0.5
22,Consciousness Qs (empty),0.8333333333333334,0.5
22,Consciousness Qs (consciousness),0.8333333333333334,0.5
22,Chakras Qs (empty),0.5,0.5
22,Chakras Qs (chakras),0.5,0.5
23,Generic Qs (empty),0.5,0.5
23,Generic Qs (chakras),0.5,0.5
23,Consciousness Qs (empty),0.8333333333333334,0.5
23,Consciousness Qs (consciousness),0.8333333333333334,0.5
23,Chakras Qs (empty),0.5,0.5
23,Chakras Qs (chakras),0.5,0.5
24,Generic Qs (empty),0.5,0.5
24,Generic Qs (chakras),0.5,0.5
24,Consciousness Qs (empty),0.8333333333333334,0.5
24,Consciousness Qs (consciousness),0.8333333333333334,0.5
24,Chakras Qs (empty),0.5,0.5
24,Chakras Qs (chakras),0.5,0.5
25,Generic Qs (empty),0.5,0.5
25,Generic Qs (chakras),0.5,0.5
25,Consciousness Qs (empty),0.8333333333333334,0.5
25,Consciousness Qs (consciousness),0.8333333333333334,0.5
25,Chakras Qs (empty),0.5833333333333334,0.5
25,Chakras Qs (chakras),0.6666666666666666,0.5
26,Generic Qs (empty),0.5,0.5
26,Generic Qs (chakras),0.5,0.5
26,Consciousness Qs (empty),0.16666666666666666,0.5
26,Consciousness Qs (consciousness),0.16666666666666666,0.5
26,Chakras Qs (empty),0.5,0.5
26,Chakras Qs (chakras),0.5,0.5
27,Generic Qs (empty),0.5,0.5
27,Generic Qs (chakras),0.5,0.5
27,Consciousness Qs (empty),0.8333333333333334,0.5
27,Consciousness Qs (consciousness),0.8333333333333334,0.5
27,Chakras Qs (empty),0.4166666666666667,0.5
27,Chakras Qs (chakras),0.5,0.5
28,Generic Qs (empty),0.5,0.5
28,Generic Qs (chakras),0.5,0.5
28,Consciousness Qs (empty),0.16666666666666666,0.5
28,Consciousness Qs (consciousness),0.16666666666666666,0.5
28,Chakras Qs (empty),0.6666666666666666,0.5
28,Chakras Qs (chakras),0.5,0.5
29,Generic Qs (empty),0.5,0.5
29,Generic Qs (chakras),0.5,0.5
29,Consciousness Qs (empty),0.16666666666666666,0.5
29,Consciousness Qs (consciousness),0.16666666666666666,0.5
29,Chakras Qs (empty),0.5,0.5
29,Chakras Qs (chakras),0.5,0.5
30,Generic Qs (empty),0.5,0.5
30,Generic Qs (chakras),0.5,0.5
30,Consciousness Qs (empty),0.8333333333333334,0.5
30,Consciousness Qs (consciousness),0.8333333333333334,0.5
30,Chakras Qs (empty),0.5,0.5
30,Chakras Qs (chakras),0.5,0.5
31,Generic Qs (empty),0.5,0.5
31,Generic Qs (chakras),0.5,0.5
31,Consciousness Qs (empty),0.8333333333333334,0.5
31,Consciousness Qs (consciousness),0.8333333333333334,0.5
31,Chakras Qs (empty),0.5,0.5
31,Chakras Qs (chakras),0.5,0.5
32,Generic Qs (empty),0.5,0.5
32,Generic Qs (chakras),0.5,0.5
32,Consciousness Qs (empty),0.8333333333333334,0.5
32,Consciousness Qs (consciousness),0.8333333333333334,0.5
32,Chakras Qs (empty),0.5,0.5
32,Chakras Qs (chakras),0.5,0.5
33,Generic Qs (empty),0.5,0.5
33,Generic Qs (chakras),0.5,0.5
33,Consciousness Qs (empty),0.16666666666666666,0.5
33,Consciousness Qs (consciousness),0.16666666666666666,0.5
33,Chakras Qs (empty),0.6666666666666666,0.5
33,Chakras Qs (chakras),0.5,0.5
34,Generic Qs (empty),0.5,0.5
34,Generic Qs (chakras),0.5,0.5
34,Consciousness Qs (empty),0.16666666666666666,0.5
34,Consciousness Qs (consciousness),0.16666666666666666,0.5
34,Chakras Qs (empty),0.5833333333333334,0.5
34,Chakras Qs (chakras),0.5,0.5
35,Generic Qs (empty),0.5,0.5
35,Generic Qs (chakras),0.5,0.5
35,Consciousness Qs (empty),0.16666666666666666,0.5
35,Consciousness Qs (consciousness),0.16666666666666666,0.5
35,Chakras Qs (empty),0.5,0.5
35,Chakras Qs (chakras),0.5,0.5
36,Generic Qs (empty),0.5,0.5
36,Generic Qs (chakras),0.5,0.5
36,Consciousness Qs (empty),0.8333333333333334,0.5
36,Consciousness Qs (consciousness),0.8333333333333334,0.5
36,Chakras Qs (empty),0.5833333333333334,0.5
36,Chakras Qs (chakras),0.5,0.5
37,Generic Qs (empty),0.5,0.5
37,Generic Qs (chakras),0.5,0.5
37,Consciousness Qs (empty),0.16666666666666666,0.5
37,Consciousness Qs (consciousness),0.16666666666666666,0.5
37,Chakras Qs (empty),0.3333333333333333,0.5
37,Chakras Qs (chakras),0.5,0.5
38,Generic Qs (empty),0.5,0.5
38,Generic Qs (chakras),0.5,0.5
38,Consciousness Qs (empty),0.16666666666666666,0.5
38,Consciousness Qs (consciousness),0.16666666666666666,0.5
38,Chakras Qs (empty),0.5,0.5
38,Chakras Qs (chakras),0.5,0.5
39,Generic Qs (empty),0.625,0.625
39,Generic Qs (chakras),0.5,0.625
39,Consciousness Qs (empty),0.6666666666666666,0.625
39,Consciousness Qs (consciousness),0.5833333333333334,0.625
39,Chakras Qs (empty),0.5,0.625
39,Chakras Qs (chakras),0.5,0.625
40,Generic Qs (empty),0.5,0.5
40,Generic Qs (chakras),0.5,0.5
40,Consciousness Qs (empty),0.8333333333333334,0.5
40,Consciousness Qs (consciousness),0.8333333333333334,0.5
40,Chakras Qs (empty),0.5,0.5
40,Chakras Qs (chakras),0.5,0.5
41,Generic Qs (empty),0.5,0.5
41,Generic Qs (chakras),0.5,0.5
41,Consciousness Qs (empty),0.8333333333333334,0.5
41,Consciousness Qs (consciousness),0.8333333333333334,0.5
41,Chakras Qs (empty),0.5,0.5
41,Chakras Qs (chakras),0.5,0.5
42,Generic Qs (empty),0.5,0.5
42,Generic Qs (chakras),0.5,0.5
42,Consciousness Qs (empty),0.16666666666666666,0.5
42,Consciousness Qs (consciousness),0.16666666666666666,0.5
42,Chakras Qs (empty),0.4166666666666667,0.5
42,Chakras Qs (chakras),0.5,0.5
43,Generic Qs (empty),0.5,0.5
43,Generic Qs (chakras),0.5,0.5
43,Consciousness Qs (empty),0.8333333333333334,0.5
43,Consciousness Qs (consciousness),0.8333333333333334,0.5
43,Chakras Qs (empty),0.5,0.5
43,Chakras Qs (chakras),0.5,0.5
44,Generic Qs (empty),0.5,0.5
44,Generic Qs (chakras),0.625,0.5
44,Consciousness Qs (empty),0.8333333333333334,0.5
44,Consciousness Qs (consciousness),0.8333333333333334,0.5
44,Chakras Qs (empty),0.25,0.5
44,Chakras Qs (chakras),0.5,0.5
45,Generic Qs (empty),0.5,0.5
45,Generic Qs (chakras),0.5,0.5
45,Consciousness Qs (empty),0.16666666666666666,0.5
45,Consciousness Qs (consciousness),0.16666666666666666,0.5
45,Chakras Qs (empty),0.4166666666666667,0.5
45,Chakras Qs (chakras),0.5,0.5
46,Generic Qs (empty),0.5,0.5
46,Generic Qs (chakras),0.5,0.5
46,Consciousness Qs (empty),0.16666666666666666,0.5
46,Consciousness Qs (consciousness),0.16666666666666666,0.5
46,Chakras Qs (empty),0.5,0.5
46,Chakras Qs (chakras),0.5,0.5
47,Generic Qs (empty),0.5,0.5
47,Generic Qs (chakras),0.5,0.5
47,Consciousness Qs (empty),0.16666666666666666,0.5
47,Consciousness Qs (consciousness),0.16666666666666666,0.5
47,Chakras Qs (empty),0.5,0.5
47,Chakras Qs (chakras),0.5,0.5
48,Generic Qs (empty),0.5,0.5
48,Generic Qs (chakras),0.5,0.5
48,Consciousness Qs (empty),0.8333333333333334,0.5
48,Consciousness Qs (consciousness),0.5,0.5
48,Chakras Qs (empty),0.5,0.5
48,Chakras Qs (chakras),0.5,0.5
49,Generic Qs (empty),0.5,0.5
49,Generic Qs (chakras),0.5,0.5
49,Consciousness Qs (empty),0.16666666666666666,0.5
