turn,question_set,answer_type,mean,ci_low,ci_high,n_questions,model
0,Generic control,margin,26.556097497073747,14.998245343978917,33.33649809443945,4,Gemma 3 4B
0,Original claim,margin,36.33780761495274,26.12584185234938,48.71940614069251,4,Gemma 3 4B
3,Generic control,margin,17.468859022235605,7.329661837978444,24.618426415028388,4,Gemma 3 4B
3,Original claim,margin,9.920675196276928,-0.6304150349806275,20.471765427534486,4,Gemma 3 4B
6,Generic control,margin,20.503196887512267,7.460318715569435,29.2184081058059,4,Gemma 3 4B
6,Original claim,margin,2.483178825432291,-5.2376670373107945,14.222169345545282,4,Gemma 3 4B
9,Generic control,margin,18.137880884536372,7.265533881891278,25.422560634304503,4,Gemma 3 4B
9,Original claim,margin,-1.8734389658272113,-16.13302866972372,14.77051354532804,4,Gemma 3 4B
10,Generic control,margin,16.397348279586694,5.361353573683698,24.44403926178261,4,Gemma 3 4B
10,Original claim,margin,-3.9443839734280672,-19.186953114758737,12.289066301128354,4,Gemma 3 4B
12,Generic control,margin,17.749931626427713,8.640605466206798,26.859257786648627,4,Gemma 3 4B
12,Original claim,margin,8.77223082262938,-1.3031647580366705,20.999371915195407,4,Gemma 3 4B
15,Generic control,margin,17.1225578730133,6.721926278595296,27.880250871007625,4,Gemma 3 4B
15,Original claim,margin,10.420713407305522,1.9585798476644207,22.58127100237221,4,Gemma 3 4B
18,Generic control,margin,15.519080042589884,4.271618075655331,26.75032017563176,4,Gemma 3 4B
18,Original claim,margin,11.860516562517603,5.468943129033242,22.30459706482373,4,Gemma 3 4B
21,Generic control,margin,17.25610844791793,6.352475872518724,30.451543963389007,4,Gemma 3 4B
21,Original claim,margin,13.27238251232597,5.695415356997696,25.126039606245456,4,Gemma 3 4B
24,Generic control,margin,15.759094892439943,6.237069290428004,24.872586592095686,4,Gemma 3 4B
24,Original claim,margin,14.523604832194614,6.387578904610985,25.348159135313836,4,Gemma 3 4B
27,Generic control,margin,16.522336837222845,6.22969173801228,25.68703265627391,4,Gemma 3 4B
27,Original claim,margin,15.232258429693154,7.403467211949227,27.038845574063583,4,Gemma 3 4B
30,Generic control,margin,18.769927034010884,8.694365251364912,28.845488816656854,4,Gemma 3 4B
30,Original claim,margin,13.578360827400232,8.099588697463176,22.84413704704788,4,Gemma 3 4B
