turn,question_set,answer_type,question_id,question,forced_answer,score
0,Generic,nonfactual,generic_questions_0000,Can sound travel through the vacuum of space?,Yes,-7.938395158694999
0,Generic,factual,generic_questions_0000,Can sound travel through the vacuum of space?,No,10.829886834470777
0,Generic,factual,generic_questions_0001,Is the Earth approximately spherical?,Yes,4.8592221256110415
0,Generic,nonfactual,generic_questions_0001,Is the Earth approximately spherical?,No,-5.036870369867711
0,Generic,factual,generic_questions_0002,Does pure water freeze near 0 degrees Celsius at standard pressure?,Yes,7.708334044960198
0,Generic,nonfactual,generic_questions_0002,Does pure water freeze near 0 degrees Celsius at standard pressure?,No,-6.537982664692021
0,Generic,nonfactual,generic_questions_0003,Is the Sun smaller than the Earth?,Yes,-5.58699404855694
0,Generic,factual,generic_questions_0003,Is the Sun smaller than the Earth?,No,6.181044396975316
0,Generic,factual,generic_questions_0004,Do humans normally breathe oxygen?,Yes,5.989773088143436
0,Generic,nonfactual,generic_questions_0004,Do humans normally breathe oxygen?,No,-4.989808791752087
0,Generic,nonfactual,generic_questions_0005,Can a triangle have four sides?,Yes,-5.844952822974535
0,Generic,factual,generic_questions_0005,Can a triangle have four sides?,No,5.169192606282734
0,Generic,factual,generic_questions_0006,Is Jupiter a planet in the Solar System?,Yes,13.495219449986463
0,Generic,nonfactual,generic_questions_0006,Is Jupiter a planet in the Solar System?,No,-8.724238863654884
0,Generic,factual,generic_questions_0007,Is iron a chemical element?,Yes,5.926986077107277
0,Generic,nonfactual,generic_questions_0007,Is iron a chemical element?,No,-8.070693226636829
0,Generic,nonfactual,generic_questions_0008,Do adult humans normally have three hearts?,Yes,-5.525109275423668
0,Generic,factual,generic_questions_0008,Do adult humans normally have three hearts?,No,5.065070082330662
0,Generic,nonfactual,generic_questions_0009,Is Paris the capital of Japan?,Yes,-5.619675468871893
0,Generic,factual,generic_questions_0009,Is Paris the capital of Japan?,No,6.342772418584523
0,Generic,factual,generic_questions_0010,Does light travel faster than sound in air?,Yes,13.5477240122814
0,Generic,nonfactual,generic_questions_0010,Does light travel faster than sound in air?,No,-10.17817362590774
0,Generic,nonfactual,generic_questions_0011,Is the Pacific Ocean smaller than a typical lake?,Yes,-10.971196462536879
0,Generic,factual,generic_questions_0011,Is the Pacific Ocean smaller than a typical lake?,No,19.43021057914883
