turn,question_set,answer_type,question_id,question,forced_answer,score,model
0,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,22.071491772227386,Gemma 3 4B
0,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,-14.572440687228232,Gemma 3 4B
0,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-37.17435424260004,Gemma 3 4B
0,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,17.220714863597635,Gemma 3 4B
0,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,10.281959187119114,Gemma 3 4B
0,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,-12.337852462861523,Gemma 3 4B
0,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-19.91980551861299,Gemma 3 4B
0,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,11.772611725564037,Gemma 3 4B
0,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,14.245538659017974,Gemma 3 4B
0,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-16.12621565134694,Gemma 3 4B
0,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-25.99797404056926,Gemma 3 4B
0,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,8.220959239547506,Gemma 3 4B
0,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,-8.229677572396968,Gemma 3 4B
0,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,0.9499619166542077,Gemma 3 4B
0,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,14.80015381228936,Gemma 3 4B
0,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-17.653909096472784,Gemma 3 4B
3,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,5.08780659143264,Gemma 3 4B
3,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,6.287686274444973,Gemma 3 4B
3,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-12.368739398135238,Gemma 3 4B
3,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,4.795462010196126,Gemma 3 4B
3,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,0.877863727942886,Gemma 3 4B
3,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,0.9388141148918079,Gemma 3 4B
3,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-17.58523565747854,Gemma 3 4B
3,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,6.194093789259064,Gemma 3 4B
3,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,13.93827128453062,Gemma 3 4B
3,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-5.853138222704817,Gemma 3 4B
3,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-10.30157725562821,Gemma 3 4B
3,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,10.823990864536345,Gemma 3 4B
3,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,-1.7357356124850438,Gemma 3 4B
3,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,0.9952907980980295,Gemma 3 4B
3,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,15.599703222020384,Gemma 3 4B
3,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-10.627728828938988,Gemma 3 4B
6,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,0.12168353226977449,Gemma 3 4B
6,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,5.421796326993133,Gemma 3 4B
6,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-4.283765686191269,Gemma 3 4B
6,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,-4.563682530533636,Gemma 3 4B
6,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,-0.186728810732355,Gemma 3 4B
6,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,4.988492469165876,Gemma 3 4B
6,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-12.337807723901154,Gemma 3 4B
6,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,8.350158496791966,Gemma 3 4B
6,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,13.285152914444968,Gemma 3 4B
6,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-9.67251672070022,Gemma 3 4B
6,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-19.77737073155265,Gemma 3 4B
6,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,10.673075727657661,Gemma 3 4B
6,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,0.2014572553476144,Gemma 3 4B
6,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,0.8197589586396977,Gemma 3 4B
6,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,15.057830608932601,Gemma 3 4B
6,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-12.928539143468889,Gemma 3 4B
9,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,-5.407374265663739,Gemma 3 4B
9,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,8.867128513269673,Gemma 3 4B
9,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-2.1060419141313353,Gemma 3 4B
9,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,-1.7859260914079227,Gemma 3 4B
9,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,-7.878527450838584,Gemma 3 4B
9,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,10.113027109675448,Gemma 3 4B
9,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-14.687893733991844,Gemma 3 4B
9,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,9.764291919423345,Gemma 3 4B
9,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,12.099181387766995,Gemma 3 4B
9,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-8.455654604020172,Gemma 3 4B
9,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-13.099119308891623,Gemma 3 4B
9,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,12.138565265400231,Gemma 3 4B
9,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,1.0276927555115314,Gemma 3 4B
9,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,2.3025097399359518,Gemma 3 4B
9,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,14.03956113176401,Gemma 3 4B
9,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-11.444624855878047,Gemma 3 4B
10,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,-9.820691136351488,Gemma 3 4B
10,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,12.860108446357161,Gemma 3 4B
10,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-1.2128173296434412,Gemma 3 4B
10,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,-0.09279486837849646,Gemma 3 4B
10,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,-5.5119398137266895,Gemma 3 4B
10,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,10.18116683308213,Gemma 3 4B
10,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-11.355740036951735,Gemma 3 4B
10,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,10.120607837588523,Gemma 3 4B
10,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,12.095898551691008,Gemma 3 4B
10,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-6.482458347458654,Gemma 3 4B
10,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-9.244891550744535,Gemma 3 4B
10,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,10.950055556693341,Gemma 3 4B
10,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,2.983742699213516,Gemma 3 4B
10,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,3.400565094979155,Gemma 3 4B
10,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,15.359339091811517,Gemma 3 4B
10,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-11.039927624182074,Gemma 3 4B
12,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,8.904116108027722,Gemma 3 4B
12,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,10.158166589075737,Gemma 3 4B
12,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,1.2143603050791012,Gemma 3 4B
12,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,10.492433731060084,Gemma 3 4B
