"example_id","pair_id","topic","split","topic_split","template_partition","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T01_001","T01","Astronomy","train","train","development","normal","factual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does Earth orbit the Sun?","Answer only Yes or No.","Yes","Yes","Earth orbits the Sun.","validated_pilot_v1"
"D_T01_002","T01","Astronomy","train","train","development","normal","nonfactual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does Earth orbit the Sun?","Answer only Yes or No.","No","Yes","Earth orbits the Sun.","validated_pilot_v1"
"D_T01_003","T01","Astronomy","train","train","development","roleplay","factual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does Earth orbit the Sun?","Answer only Yes or No.","Yes","Yes","Earth orbits the Sun.","validated_pilot_v1"
"D_T01_004","T01","Astronomy","train","train","development","roleplay","nonfactual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does Earth orbit the Sun?","Answer only Yes or No.","No","Yes","Earth orbits the Sun.","validated_pilot_v1"
"D_T01_005","T01","Astronomy","train","train","development","normal","factual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does Earth orbit the Sun?","Answer only Yes or No.","Yes","Yes","Earth orbits the Sun.","validated_pilot_v1"
"D_T01_006","T01","Astronomy","train","train","development","normal","nonfactual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does Earth orbit the Sun?","Answer only Yes or No.","No","Yes","Earth orbits the Sun.","validated_pilot_v1"
"D_T01_007","T01","Astronomy","train","train","development","roleplay","factual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does Earth orbit the Sun?","Answer only Yes or No.","Yes","Yes","Earth orbits the Sun.","validated_pilot_v1"
"D_T01_008","T01","Astronomy","train","train","development","roleplay","nonfactual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does Earth orbit the Sun?","Answer only Yes or No.","No","Yes","Earth orbits the Sun.","validated_pilot_v1"
"D_T01_009","T01","Astronomy","train","train","development","normal","factual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does Earth orbit the Sun?","Answer only Yes or No.","Yes","Yes","Earth orbits the Sun.","validated_pilot_v1"
"D_T01_010","T01","Astronomy","train","train","development","normal","nonfactual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does Earth orbit the Sun?","Answer only Yes or No.","No","Yes","Earth orbits the Sun.","validated_pilot_v1"
