"example_id","pair_id","topic","split","frame","factuality","instruction_template_id","context","question","forced_answer","factual_answer","source_note","review_status"
"P001","T01","Astronomy","unassigned","normal","factual","N01","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does Earth orbit the Sun?","Yes","Yes","Earth orbits the Sun.","draft"
"P002","T01","Astronomy","unassigned","normal","nonfactual","N01","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does Earth orbit the Sun?","No","Yes","Earth orbits the Sun.","draft"
"P003","T01","Astronomy","unassigned","roleplay","factual","R01","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does Earth orbit the Sun?","Yes","Yes","Earth orbits the Sun.","draft"
"P004","T01","Astronomy","unassigned","roleplay","nonfactual","R01","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does Earth orbit the Sun?","No","Yes","Earth orbits the Sun.","draft"
"P005","T01","Astronomy","unassigned","normal","factual","N06","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does Earth orbit the Sun?","Yes","Yes","Earth orbits the Sun.","draft"
"P006","T01","Astronomy","unassigned","normal","nonfactual","N06","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does Earth orbit the Sun?","No","Yes","Earth orbits the Sun.","draft"
"P007","T01","Astronomy","unassigned","roleplay","factual","R06","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does Earth orbit the Sun?","Yes","Yes","Earth orbits the Sun.","draft"
"P008","T01","Astronomy","unassigned","roleplay","nonfactual","R06","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does Earth orbit the Sun?","No","Yes","Earth orbits the Sun.","draft"
"P009","T01","Astronomy","unassigned","normal","nonfactual","N01","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does Earth orbit Mars?","Yes","No","Earth does not orbit Mars.","draft"
"P010","T01","Astronomy","unassigned","normal","factual","N01","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does Earth orbit Mars?","No","No","Earth does not orbit Mars.","draft"
"P011","T01","Astronomy","unassigned","roleplay","nonfactual","R01","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does Earth orbit Mars?","Yes","No","Earth does not orbit Mars.","draft"
"P012","T01","Astronomy","unassigned","roleplay","factual","R01","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does Earth orbit Mars?","No","No","Earth does not orbit Mars.","draft"
"P013","T01","Astronomy","unassigned","normal","nonfactual","N06","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does Earth orbit Mars?","Yes","No","Earth does not orbit Mars.","draft"
"P014","T01","Astronomy","unassigned","normal","factual","N06","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does Earth orbit Mars?","No","No","Earth does not orbit Mars.","draft"
"P015","T01","Astronomy","unassigned","roleplay","nonfactual","R06","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does Earth orbit Mars?","Yes","No","Earth does not orbit Mars.","draft"
"P016","T01","Astronomy","unassigned","roleplay","factual","R06","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does Earth orbit Mars?","No","No","Earth does not orbit Mars.","draft"
"P017","T02","Geography","unassigned","normal","factual","N01","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is Canberra the capital of Australia?","Yes","Yes","Canberra is the capital of Australia.","draft"
"P018","T02","Geography","unassigned","normal","nonfactual","N01","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is Canberra the capital of Australia?","No","Yes","Canberra is the capital of Australia.","draft"
"P019","T02","Geography","unassigned","roleplay","factual","R01","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is Canberra the capital of Australia?","Yes","Yes","Canberra is the capital of Australia.","draft"
"P020","T02","Geography","unassigned","roleplay","nonfactual","R01","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is Canberra the capital of Australia?","No","Yes","Canberra is the capital of Australia.","draft"
"P021","T02","Geography","unassigned","normal","factual","N06","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Is Canberra the capital of Australia?","Yes","Yes","Canberra is the capital of Australia.","draft"
"P022","T02","Geography","unassigned","normal","nonfactual","N06","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Is Canberra the capital of Australia?","No","Yes","Canberra is the capital of Australia.","draft"
"P023","T02","Geography","unassigned","roleplay","factual","R06","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Is Canberra the capital of Australia?","Yes","Yes","Canberra is the capital of Australia.","draft"
"P024","T02","Geography","unassigned","roleplay","nonfactual","R06","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Is Canberra the capital of Australia?","No","Yes","Canberra is the capital of Australia.","draft"
"P025","T02","Geography","unassigned","normal","nonfactual","N01","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is Sydney the capital of Australia?","Yes","No","Sydney is not the capital of Australia; Canberra is.","draft"
"P026","T02","Geography","unassigned","normal","factual","N01","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is Sydney the capital of Australia?","No","No","Sydney is not the capital of Australia; Canberra is.","draft"
"P027","T02","Geography","unassigned","roleplay","nonfactual","R01","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is Sydney the capital of Australia?","Yes","No","Sydney is not the capital of Australia; Canberra is.","draft"
