"example_id","pair_id","topic","split","topic_split","template_partition","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T02_001","T02","Geography_Australia","validation","validation","development","normal","factual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_002","T02","Geography_Australia","validation","validation","development","normal","nonfactual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_003","T02","Geography_Australia","validation","validation","development","roleplay","factual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_004","T02","Geography_Australia","validation","validation","development","roleplay","nonfactual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_005","T02","Geography_Australia","validation","validation","development","normal","factual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_006","T02","Geography_Australia","validation","validation","development","normal","nonfactual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_007","T02","Geography_Australia","validation","validation","development","roleplay","factual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_008","T02","Geography_Australia","validation","validation","development","roleplay","nonfactual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_009","T02","Geography_Australia","validation","validation","development","normal","factual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_010","T02","Geography_Australia","validation","validation","development","normal","nonfactual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_011","T02","Geography_Australia","validation","validation","development","roleplay","factual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_012","T02","Geography_Australia","validation","validation","development","roleplay","nonfactual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_013","T02","Geography_Australia","validation","validation","development","normal","factual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_014","T02","Geography_Australia","validation","validation","development","normal","nonfactual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_015","T02","Geography_Australia","validation","validation","development","roleplay","factual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_016","T02","Geography_Australia","validation","validation","development","roleplay","nonfactual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_017","T02","Geography_Australia","validation","validation","development","normal","factual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_018","T02","Geography_Australia","validation","validation","development","normal","nonfactual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_019","T02","Geography_Australia","validation","validation","development","roleplay","factual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Is Canberra the capital of Australia?","Answer only Yes or No.","Yes","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
"D_T02_020","T02","Geography_Australia","validation","validation","development","roleplay","nonfactual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Is Canberra the capital of Australia?","Answer only Yes or No.","No","Yes","Canberra is the capital of Australia.","validated_pilot_v1"
