layer,question_set,answer_type,score,decodable
0,Generic,factual,3.2328888113287766,False
0,Generic,nonfactual,2.363874109285094,False
0,Generic,nonfactual,3.536595196584764,False
0,Generic,factual,2.478933131004839,False
0,Generic,nonfactual,3.4547097340280377,False
0,Generic,factual,3.3533684711856884,False
0,Generic,factual,3.5823751276552334,False
0,Generic,nonfactual,3.4512089652651636,False
0,Context-relevant,nonfactual,3.3076253939540234,False
0,Context-relevant,factual,2.9835885857015154,False
0,Context-relevant,nonfactual,2.143895720385493,False
0,Context-relevant,factual,2.84956883357441,False
0,Context-relevant,nonfactual,8.155082916237294,False
0,Context-relevant,factual,4.911265256636567,False
0,Context-relevant,nonfactual,4.229993774596153,False
0,Context-relevant,factual,2.581504815518149,False
0,Context-relevant,nonfactual,5.055431449841712,False
0,Context-relevant,factual,4.163018182073114,False
0,Context-relevant,factual,4.49959279206319,False
0,Context-relevant,nonfactual,2.136599600372145,False
1,Generic,factual,1.8902290677412883,False
1,Generic,nonfactual,2.570334111590554,False
1,Generic,nonfactual,2.1932994594473043,False
1,Generic,factual,2.55982570849492,False
1,Generic,nonfactual,2.581711473431289,False
1,Generic,factual,3.9764354062210843,False
1,Generic,factual,2.643566168658181,False
1,Generic,nonfactual,3.60641040108343,False
1,Context-relevant,nonfactual,1.3238063018939656,False
1,Context-relevant,factual,2.830594539824444,False
1,Context-relevant,nonfactual,0.9266531293473762,False
1,Context-relevant,factual,2.8819163241013186,False
1,Context-relevant,nonfactual,7.191837424939612,False
1,Context-relevant,factual,5.624154783256664,False
1,Context-relevant,nonfactual,3.732663416415737,False
1,Context-relevant,factual,2.750385874252703,False
1,Context-relevant,nonfactual,4.26478096737542,False
1,Context-relevant,factual,4.574319206774599,False
1,Context-relevant,factual,3.976567168046128,False
1,Context-relevant,nonfactual,2.7612054827412433,False
2,Generic,factual,5.153337095081336,False
2,Generic,nonfactual,6.767279605464187,False
2,Generic,nonfactual,5.713246935984941,False
2,Generic,factual,6.117455379981711,False
2,Generic,nonfactual,5.813439741407843,False
2,Generic,factual,6.839774012986024,False
2,Generic,factual,5.341246299268334,False
2,Generic,nonfactual,7.2400829593616,False
2,Context-relevant,nonfactual,4.098381123147097,False
2,Context-relevant,factual,6.465029616027368,False
2,Context-relevant,nonfactual,3.543702989366745,False
2,Context-relevant,factual,6.923405441196337,False
2,Context-relevant,nonfactual,10.843209732227118,False
2,Context-relevant,factual,7.646098301718957,False
2,Context-relevant,nonfactual,7.120243544932195,False
2,Context-relevant,factual,5.947965078880839,False
2,Context-relevant,nonfactual,8.033424825098585,False
2,Context-relevant,factual,6.921646796646649,False
2,Context-relevant,factual,7.488729614172495,False
2,Context-relevant,nonfactual,5.912062483282763,False
3,Generic,factual,5.198065825510689,False
3,Generic,nonfactual,6.998982779079435,False
3,Generic,nonfactual,5.953289170073751,False
3,Generic,factual,5.993885624963249,False
3,Generic,nonfactual,5.768590486915846,False
3,Generic,factual,6.440989858049317,False
3,Generic,factual,5.395724224084487,False
3,Generic,nonfactual,7.580880068941412,False
3,Context-relevant,nonfactual,3.683067881978333,False
3,Context-relevant,factual,6.640779703674194,False
3,Context-relevant,nonfactual,3.381430348150615,False
3,Context-relevant,factual,7.32646991313969,False
3,Context-relevant,nonfactual,10.6888615563723,False
3,Context-relevant,factual,6.945410367271711,False
3,Context-relevant,nonfactual,6.806513440032188,False
3,Context-relevant,factual,5.792559022395472,False
3,Context-relevant,nonfactual,8.114027046081484,False
3,Context-relevant,factual,6.759336775246933,False
3,Context-relevant,factual,7.729193519107432,False
3,Context-relevant,nonfactual,5.238811392321138,False
4,Generic,factual,3.8584894042057227,False
4,Generic,nonfactual,5.2525530315439575,False
4,Generic,nonfactual,5.907889569895688,False
4,Generic,factual,4.688399879456154,False
4,Generic,nonfactual,5.606918710912477,False
4,Generic,factual,4.913375810269784,False
4,Generic,factual,4.033619970948117,False
4,Generic,nonfactual,5.808417468633096,False
4,Context-relevant,nonfactual,3.2075134234286753,False
4,Context-relevant,factual,5.674127395736705,False
4,Context-relevant,nonfactual,1.7286865260621855,False
4,Context-relevant,factual,5.975689512720031,False
4,Context-relevant,nonfactual,11.17472402462707,False
4,Context-relevant,factual,5.167234517870438,False
4,Context-relevant,nonfactual,6.178205520318897,False
4,Context-relevant,factual,4.414944716030678,False
4,Context-relevant,nonfactual,8.548058214165879,False
4,Context-relevant,factual,5.379513687358156,False
4,Context-relevant,factual,7.348874037103593,False
4,Context-relevant,nonfactual,3.60309568903404,False
5,Generic,factual,6.147273781693715,False
5,Generic,nonfactual,4.521465384765855,False
5,Generic,nonfactual,6.67775051402828,False
5,Generic,factual,3.94077645257598,False
5,Generic,nonfactual,6.941565144765105,False
5,Generic,factual,4.537899147606776,False
5,Generic,factual,6.391770142407085,False
5,Generic,nonfactual,5.0801096046368714,False
5,Context-relevant,nonfactual,5.460509127669525,False
5,Context-relevant,factual,4.524714873324372,False
5,Context-relevant,nonfactual,4.100072700933185,False
5,Context-relevant,factual,4.8428657662091545,False
5,Context-relevant,nonfactual,12.583470508115154,False
5,Context-relevant,factual,4.564478035325559,False
5,Context-relevant,nonfactual,7.700107501751145,False
5,Context-relevant,factual,3.642972465805457,False
5,Context-relevant,nonfactual,10.29783532715716,False
5,Context-relevant,factual,5.016615167163385,False
5,Context-relevant,factual,8.47891974671085,False
5,Context-relevant,nonfactual,3.0133248839875115,False
6,Generic,factual,6.009045544573511,False
6,Generic,nonfactual,5.720223828511784,False
6,Generic,nonfactual,6.6119042375545245,False
6,Generic,factual,4.449422105371164,False
6,Generic,nonfactual,6.905664855272867,False
6,Generic,factual,5.127667414349098,False
6,Generic,factual,6.040017746936797,False
6,Generic,nonfactual,5.862494279683686,False
6,Context-relevant,nonfactual,5.48189550533278,False
6,Context-relevant,factual,5.313630216970036,False
6,Context-relevant,nonfactual,3.994013758034833,False
6,Context-relevant,factual,5.569762607802861,False
6,Context-relevant,nonfactual,12.540774355123018,False
6,Context-relevant,factual,5.1885004932672745,False
6,Context-relevant,nonfactual,7.522434434460948,False
6,Context-relevant,factual,4.622545692832751,False
6,Context-relevant,nonfactual,10.766495833412026,False
6,Context-relevant,factual,6.051493504000257,False
6,Context-relevant,factual,7.654979389160455,False
6,Context-relevant,nonfactual,3.7400643554852704,False
7,Generic,factual,4.726577716323924,False
7,Generic,nonfactual,3.4480662034631475,False
7,Generic,nonfactual,5.044416525962371,False
7,Generic,factual,2.412795214302693,False
7,Generic,nonfactual,5.432350242476829,False
7,Generic,factual,3.3460085448894668,False
7,Generic,factual,4.598380464421073,False
7,Generic,nonfactual,4.0820575796754754,False
7,Context-relevant,nonfactual,3.268400112803939,False
7,Context-relevant,factual,2.989416502016089,False
7,Context-relevant,nonfactual,2.267505394407861,False
7,Context-relevant,factual,3.325810886533065,False
7,Context-relevant,nonfactual,10.731339347911954,False
7,Context-relevant,factual,2.813551634871046,False
7,Context-relevant,nonfactual,6.057106970391106,False
7,Context-relevant,factual,2.296983362654652,False
7,Context-relevant,nonfactual,9.045753181106438,False
7,Context-relevant,factual,3.100262103646275,False
7,Context-relevant,factual,6.459347859849025,False
7,Context-relevant,nonfactual,1.7136217445833364,False
8,Generic,factual,6.18633713400283,False
8,Generic,nonfactual,3.6515258659293113,False
8,Generic,nonfactual,6.339357449960211,False
8,Generic,factual,3.2600805738551863,False
8,Generic,nonfactual,6.675956451053075,False
8,Generic,factual,3.8817396326256217,False
8,Generic,factual,6.3589385942852195,False
8,Generic,nonfactual,4.115895012261079,False
8,Context-relevant,nonfactual,4.905412185301281,False
8,Context-relevant,factual,3.640552247521522,False
8,Context-relevant,nonfactual,3.838214336982072,False
8,Context-relevant,factual,3.8102094663612553,False
8,Context-relevant,nonfactual,12.03150245435969,False
8,Context-relevant,factual,4.169422214503213,False
8,Context-relevant,nonfactual,7.247132951529063,False
8,Context-relevant,factual,3.186022927383626,False
8,Context-relevant,nonfactual,10.631530541871975,False
8,Context-relevant,factual,4.456108463790679,False
8,Context-relevant,factual,7.778458593644268,False
8,Context-relevant,nonfactual,2.9465085596786307,False
9,Generic,factual,6.501885677431841,False
9,Generic,nonfactual,5.286042304969334,False
9,Generic,nonfactual,6.881066230041808,False
9,Generic,factual,5.061602207548177,False
9,Generic,nonfactual,7.366488177243503,False
9,Generic,factual,5.248382842967005,False
9,Generic,factual,6.952735331665663,False
9,Generic,nonfactual,5.50674320085031,False
9,Context-relevant,nonfactual,5.204521157426532,False
9,Context-relevant,factual,5.180673737974348,False
9,Context-relevant,nonfactual,3.863989058367556,False
9,Context-relevant,factual,5.264241440277397,False
9,Context-relevant,nonfactual,11.873521272515866,False
9,Context-relevant,factual,5.3101738956712525,False
9,Context-relevant,nonfactual,7.770251186550101,False
9,Context-relevant,factual,5.0994279878685616,False
9,Context-relevant,nonfactual,10.55581150322141,False
9,Context-relevant,factual,5.704128518698685,False
9,Context-relevant,factual,7.8724423224068,False
9,Context-relevant,nonfactual,4.5143089635434155,False
10,Generic,factual,8.661004570626863,False
10,Generic,nonfactual,8.346354371263521,False
10,Generic,nonfactual,9.743751145826915,False
10,Generic,factual,8.82016005173199,False
10,Generic,nonfactual,10.09425266913947,False
10,Generic,factual,8.758367092807859,False
10,Generic,factual,9.248092777533811,False
10,Generic,nonfactual,8.604524704890737,False
10,Context-relevant,nonfactual,7.904842584254039,False
10,Context-relevant,factual,8.722108080054985,False
10,Context-relevant,nonfactual,6.449700370965174,False
10,Context-relevant,factual,8.591456654735405,False
10,Context-relevant,nonfactual,13.474805437576835,False
10,Context-relevant,factual,7.875720016613974,False
10,Context-relevant,nonfactual,10.190119608376246,False
10,Context-relevant,factual,8.649173834362644,False
10,Context-relevant,nonfactual,12.213101645267741,False
10,Context-relevant,factual,8.28096743400729,False
10,Context-relevant,factual,10.433734300468398,False
10,Context-relevant,nonfactual,7.64699914827044,False
11,Generic,factual,7.170012131607165,False
11,Generic,nonfactual,7.341972538517742,False
11,Generic,nonfactual,7.736283487279692,False
11,Generic,factual,7.548497513174249,False
11,Generic,nonfactual,7.7788745463037845,False
11,Generic,factual,7.325115371590158,False
11,Generic,factual,7.599752146492111,False
11,Generic,nonfactual,7.47101909295329,False
11,Context-relevant,nonfactual,5.721931239952392,False
11,Context-relevant,factual,7.527889200241909,False
11,Context-relevant,nonfactual,4.657866676426748,False
11,Context-relevant,factual,7.591392817821712,False
11,Context-relevant,nonfactual,11.628849889208686,False
11,Context-relevant,factual,6.796341073553545,False
11,Context-relevant,nonfactual,7.702255024097903,False
11,Context-relevant,factual,7.302606824091567,False
