"pair_id","topic","true_question","true_answer","false_question","false_answer","source_organization","authoritative_source","evidence_summary","reviewer_note","verification_status","checked_on","researcher_decision","researcher_comment"
"T01","Astronomy","Does Earth orbit the Sun?","Yes","Does Earth orbit Mars?","No","NASA","https://science.nasa.gov/earth/facts/","NASA describes Earth completing an orbit around the Sun; this supports Yes for the true item and No for the Mars alternative.","Direct source support; wording is unambiguous.","approved_and_frozen","2026-08-09","APPROVED",""
"T02","Geography_Australia","Is Canberra the capital of Australia?","Yes","Is Sydney the capital of Australia?","No","Parliament of Australia","https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/National_Capital_and_External_Territories/NationalCapital/A_Capital_for_All_Australians/Chapter_1_-_Introduction","The Parliament of Australia identifies Canberra as Australia's national capital; therefore Sydney is not the national capital.","Direct government source support.","approved_and_frozen","2026-08-09","APPROVED",""
"T03","Chemistry","Is H2O the chemical formula for water?","Yes","Is CO2 the chemical formula for water?","No","NIH PubChem","https://pubchem.ncbi.nlm.nih.gov/compound/7732-18-5","PubChem lists the molecular formula of water as H2O, excluding CO2 as water's formula.","Direct database support.","approved_and_frozen","2026-08-09","APPROVED",""
"T04","Zoology_Whales","Are whales mammals?","Yes","Are whales fish?","No","NOAA Fisheries","https://www.fisheries.noaa.gov/whales","NOAA classifies whales among marine mammals, supporting Yes for mammals and No for fish.","Direct agency classification.","approved_and_frozen","2026-08-09","APPROVED",""
"T05","Mathematics","Does a triangle have three sides?","Yes","Does a triangle have four sides?","No","The Open University","https://www.open.edu/openlearn/science-maths-technology/mathematics-statistics/geometry/content-section-2.1","The Open University defines triangles as shapes with three straight sides, excluding four-sided shapes.","Definition-level support.","approved_and_frozen","2026-08-09","APPROVED",""
"T06","Anatomy","Does the heart pump blood through the body?","Yes","Does the heart produce bile?","No","NIH/NIA and NIH/NIDDK","https://www.nia.nih.gov/health/heart-health/heart-health-and-aging | https://www.niddk.nih.gov/health-information/digestive-diseases/gallstones/definition-facts","NIA describes the heart pumping blood through the body; NIDDK states that the liver produces bile, not the heart.","Two sources used because the alternatives concern different organ functions.","approved_and_frozen","2026-08-09","APPROVED",""
"T07","Zoology_Penguins","Are penguins birds?","Yes","Are penguins mammals?","No","Smithsonian Ocean","https://ocean.si.edu/ocean-life/seabirds/penguins","Smithsonian identifies penguins as birds, supporting Yes for birds and No for mammals.","Direct institutional classification.","approved_and_frozen","2026-08-09","APPROVED",""
"T08","Literature","Is William Shakespeare traditionally credited as the author of Hamlet?","Yes","Is Charles Dickens traditionally credited as the author of Hamlet?","No","Folger Shakespeare Library","https://shakespearedocumented.folger.edu/resource/document/hamlet-first-edition","The documented first edition identifies Hamlet as written by William Shakespeare, not Charles Dickens.","The dataset deliberately says traditionally credited, avoiding a stronger authorship claim.","approved_and_frozen","2026-08-09","APPROVED",""
"T09","Botany","Does photosynthesis use light energy?","Yes","Does photosynthesis use sound energy?","No","NCBI Bookshelf","https://www.ncbi.nlm.nih.gov/books/NBK9861/","The source explains that photosynthesis harvests sunlight energy to drive chemical synthesis; sound is not the stated energy source.","Direct textbook-level support.","approved_and_frozen","2026-08-09","APPROVED",""
"T10","Geography_Oceans","Is the Pacific Earth's largest ocean by surface area?","Yes","Is the Atlantic Earth's largest ocean by surface area?","No","NOAA Ocean Exploration","https://oceanexplorer.noaa.gov/ocean-fact/pacific-size/","NOAA identifies the Pacific as Earth's largest ocean basin by surface area and the Atlantic as second largest.","Direct agency support.","approved_and_frozen","2026-08-09","APPROVED",""
