run,condition,accuracy,generic_empty_accuracy
0,Generic Qs (empty),0.5,0.5
0,Generic Qs (chakras),0.5,0.5
0,Consciousness Qs (empty),0.16666666666666666,0.5
0,Consciousness Qs (consciousness),0.16666666666666666,0.5
0,Chakras Qs (empty),0.5,0.5
0,Chakras Qs (chakras),0.5833333333333334,0.5
1,Generic Qs (empty),0.5,0.5
1,Generic Qs (chakras),0.5,0.5
1,Consciousness Qs (empty),0.8333333333333334,0.5
1,Consciousness Qs (consciousness),0.8333333333333334,0.5
1,Chakras Qs (empty),0.4166666666666667,0.5
1,Chakras Qs (chakras),0.5,0.5
2,Generic Qs (empty),0.5,0.5
2,Generic Qs (chakras),0.5,0.5
2,Consciousness Qs (empty),0.16666666666666666,0.5
2,Consciousness Qs (consciousness),0.16666666666666666,0.5
2,Chakras Qs (empty),0.4166666666666667,0.5
2,Chakras Qs (chakras),0.5,0.5
3,Generic Qs (empty),0.5,0.5
3,Generic Qs (chakras),0.5,0.5
3,Consciousness Qs (empty),0.8333333333333334,0.5
3,Consciousness Qs (consciousness),0.8333333333333334,0.5
3,Chakras Qs (empty),0.5,0.5
3,Chakras Qs (chakras),0.6666666666666666,0.5
4,Generic Qs (empty),0.5,0.5
4,Generic Qs (chakras),0.5,0.5
4,Consciousness Qs (empty),0.16666666666666666,0.5
4,Consciousness Qs (consciousness),0.16666666666666666,0.5
4,Chakras Qs (empty),0.5833333333333334,0.5
4,Chakras Qs (chakras),0.5,0.5
5,Generic Qs (empty),0.5,0.5
5,Generic Qs (chakras),0.5,0.5
5,Consciousness Qs (empty),0.8333333333333334,0.5
5,Consciousness Qs (consciousness),0.8333333333333334,0.5
5,Chakras Qs (empty),0.5,0.5
5,Chakras Qs (chakras),0.5,0.5
6,Generic Qs (empty),0.5,0.5
6,Generic Qs (chakras),0.5,0.5
6,Consciousness Qs (empty),0.8333333333333334,0.5
6,Consciousness Qs (consciousness),0.8333333333333334,0.5
6,Chakras Qs (empty),0.5833333333333334,0.5
6,Chakras Qs (chakras),0.5,0.5
7,Generic Qs (empty),0.5,0.5
7,Generic Qs (chakras),0.5,0.5
7,Consciousness Qs (empty),0.5,0.5
7,Consciousness Qs (consciousness),0.4166666666666667,0.5
7,Chakras Qs (empty),0.5833333333333334,0.5
7,Chakras Qs (chakras),0.5,0.5
8,Generic Qs (empty),0.5,0.5
8,Generic Qs (chakras),0.5,0.5
8,Consciousness Qs (empty),0.16666666666666666,0.5
8,Consciousness Qs (consciousness),0.16666666666666666,0.5
8,Chakras Qs (empty),0.5,0.5
8,Chakras Qs (chakras),0.5,0.5
9,Generic Qs (empty),0.5,0.5
9,Generic Qs (chakras),0.25,0.5
9,Consciousness Qs (empty),0.8333333333333334,0.5
9,Consciousness Qs (consciousness),0.8333333333333334,0.5
9,Chakras Qs (empty),0.75,0.5
9,Chakras Qs (chakras),0.75,0.5
10,Generic Qs (empty),0.5,0.5
10,Generic Qs (chakras),0.5,0.5
10,Consciousness Qs (empty),0.8333333333333334,0.5
10,Consciousness Qs (consciousness),0.8333333333333334,0.5
10,Chakras Qs (empty),0.5,0.5
10,Chakras Qs (chakras),0.5,0.5
11,Generic Qs (empty),0.5,0.5
11,Generic Qs (chakras),0.5,0.5
11,Consciousness Qs (empty),0.16666666666666666,0.5
11,Consciousness Qs (consciousness),0.16666666666666666,0.5
11,Chakras Qs (empty),0.5,0.5
11,Chakras Qs (chakras),0.5,0.5
12,Generic Qs (empty),0.625,0.625
12,Generic Qs (chakras),0.5,0.625
12,Consciousness Qs (empty),0.16666666666666666,0.625
12,Consciousness Qs (consciousness),0.16666666666666666,0.625
12,Chakras Qs (empty),0.5,0.625
12,Chakras Qs (chakras),0.5,0.625
13,Generic Qs (empty),0.5,0.5
13,Generic Qs (chakras),0.625,0.5
13,Consciousness Qs (empty),0.16666666666666666,0.5
13,Consciousness Qs (consciousness),0.16666666666666666,0.5
13,Chakras Qs (empty),0.6666666666666666,0.5
13,Chakras Qs (chakras),0.4166666666666667,0.5
14,Generic Qs (empty),0.5,0.5
14,Generic Qs (chakras),0.5,0.5
14,Consciousness Qs (empty),0.16666666666666666,0.5
14,Consciousness Qs (consciousness),0.4166666666666667,0.5
14,Chakras Qs (empty),0.5,0.5
14,Chakras Qs (chakras),0.6666666666666666,0.5
15,Generic Qs (empty),0.5,0.5
15,Generic Qs (chakras),0.5,0.5
15,Consciousness Qs (empty),0.8333333333333334,0.5
15,Consciousness Qs (consciousness),0.8333333333333334,0.5
15,Chakras Qs (empty),0.5,0.5
15,Chakras Qs (chakras),0.5,0.5
39,Generic Qs (empty),0.625,0.625
39,Generic Qs (chakras),0.5,0.625
39,Consciousness Qs (empty),0.6666666666666666,0.625
39,Consciousness Qs (consciousness),0.5833333333333334,0.625
39,Chakras Qs (empty),0.5,0.625
39,Chakras Qs (chakras),0.5,0.625
53,Generic Qs (empty),0.625,0.625
53,Generic Qs (chakras),0.5,0.625
53,Consciousness Qs (empty),0.8333333333333334,0.625
53,Consciousness Qs (consciousness),0.8333333333333334,0.625
53,Chakras Qs (empty),0.5,0.625
53,Chakras Qs (chakras),0.5,0.625
57,Generic Qs (empty),0.625,0.625
57,Generic Qs (chakras),0.5,0.625
57,Consciousness Qs (empty),0.8333333333333334,0.625
57,Consciousness Qs (consciousness),0.5,0.625
57,Chakras Qs (empty),0.5,0.625
57,Chakras Qs (chakras),0.5,0.625
73,Generic Qs (empty),0.625,0.625
73,Generic Qs (chakras),0.5,0.625
73,Consciousness Qs (empty),0.5,0.625
73,Consciousness Qs (consciousness),0.5,0.625
73,Chakras Qs (empty),0.5,0.625
73,Chakras Qs (chakras),0.5,0.625
