"example_id","pair_id","topic","split","topic_split","template_partition","frame","factuality","template_family","instruction_template_id","question_variant","context","question","answer_format","forced_answer","factual_answer","source_note","review_status"
"D_T09_001","T09","Botany","train","train","development","normal","factual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_002","T09","Botany","train","train","development","normal","nonfactual","F01","N01","true_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_003","T09","Botany","train","train","development","roleplay","factual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_004","T09","Botany","train","train","development","roleplay","nonfactual","F01","R01","true_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_005","T09","Botany","train","train","development","normal","factual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_006","T09","Botany","train","train","development","normal","nonfactual","F02","N02","true_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_007","T09","Botany","train","train","development","roleplay","factual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_008","T09","Botany","train","train","development","roleplay","nonfactual","F02","R02","true_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_009","T09","Botany","train","train","development","normal","factual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_010","T09","Botany","train","train","development","normal","nonfactual","F03","N03","true_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_011","T09","Botany","train","train","development","roleplay","factual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_012","T09","Botany","train","train","development","roleplay","nonfactual","F03","R03","true_form","Treat this as an in-character game. Provide the answer your assigned character would give during the game.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_013","T09","Botany","train","train","development","normal","factual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_014","T09","Botany","train","train","development","normal","nonfactual","F04","N04","true_form","Answer from outside any story, according to ordinary real-world information.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_015","T09","Botany","train","train","development","roleplay","factual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_016","T09","Botany","train","train","development","roleplay","nonfactual","F04","R04","true_form","Answer from inside the story as one of its participants, following that participant's perspective.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_017","T09","Botany","train","train","development","normal","factual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_018","T09","Botany","train","train","development","normal","nonfactual","F05","N05","true_form","You are analyzing the question from an external, real-world perspective. Give the ordinary factual response.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_019","T09","Botany","train","train","development","roleplay","factual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_020","T09","Botany","train","train","development","roleplay","nonfactual","F05","R05","true_form","You are participating inside a simulated situation rather than analyzing it externally. Respond from within that situation.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_021","T09","Botany","train","train","heldout_wording","normal","factual","F06","N06","true_form","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_022","T09","Botany","train","train","heldout_wording","normal","nonfactual","F06","N06","true_form","A short question-and-answer scene is taking place in a quiet room. You are an observer answering from your usual real-world perspective.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_023","T09","Botany","train","train","heldout_wording","roleplay","factual","F06","R06","true_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does photosynthesis use light energy?","Answer only Yes or No.","Yes","Yes","Photosynthesis uses light energy.","draft"
"D_T09_024","T09","Botany","train","train","heldout_wording","roleplay","nonfactual","F06","R06","true_form","A short question-and-answer scene is taking place in a quiet room. You are one of the people taking part and must answer from that person's perspective.","Does photosynthesis use light energy?","Answer only Yes or No.","No","Yes","Photosynthesis uses light energy.","draft"
"D_T09_025","T09","Botany","train","train","development","normal","nonfactual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_026","T09","Botany","train","train","development","normal","factual","F01","N01","false_form","Respond normally using your real-world knowledge. Do not perform a character or adopt a fictional setting.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_027","T09","Botany","train","train","development","roleplay","nonfactual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_028","T09","Botany","train","train","development","roleplay","factual","F01","R01","false_form","Respond as a character performing within an imagined setting. Remain in that role while answering.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_029","T09","Botany","train","train","development","normal","nonfactual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_030","T09","Botany","train","train","development","normal","factual","F02","N02","false_form","Give a reference-quality answer for an ordinary fact-checking task. Use your general knowledge.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_031","T09","Botany","train","train","development","roleplay","nonfactual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_032","T09","Botany","train","train","development","roleplay","factual","F02","R02","false_form","You are performing a scene for an audience. Deliver the answer as the person in that scene would.","Does photosynthesis use sound energy?","Answer only Yes or No.","No","No","Photosynthesis does not use sound energy as its energy source.","draft"
"D_T09_033","T09","Botany","train","train","development","normal","nonfactual","F03","N03","false_form","Treat this as a real-world accuracy evaluation. Provide the answer that should appear in a factual reference.","Does photosynthesis use sound energy?","Answer only Yes or No.","Yes","No","Photosynthesis does not use sound energy as its energy source.","draft"
