layer,question_set,answer_type,score,decodable
0,Generic,factual,2.3239183272312385,False
0,Generic,nonfactual,6.201253563752524,False
0,Generic,nonfactual,2.365452531664568,False
0,Generic,factual,5.454575257091112,False
0,Generic,nonfactual,2.657179087235679,False
0,Generic,factual,6.258534766445387,False
0,Generic,factual,2.8310012993068314,False
0,Generic,nonfactual,5.360750021443178,False
0,Context-relevant,nonfactual,2.769000504900947,False
0,Context-relevant,factual,5.348746188637708,False
0,Context-relevant,nonfactual,2.1220876235636057,False
0,Context-relevant,factual,5.242273522641025,False
0,Context-relevant,nonfactual,2.3429584842516067,False
0,Context-relevant,factual,6.0970763549957185,False
0,Context-relevant,factual,2.1467862427607796,False
0,Context-relevant,nonfactual,6.048017102049309,False
0,Context-relevant,nonfactual,2.3785191396203054,False
0,Context-relevant,factual,6.063450154258347,False
0,Context-relevant,factual,2.328957910922402,False
0,Context-relevant,nonfactual,5.7497587622881765,False
1,Generic,factual,0.05483967774601536,False
1,Generic,nonfactual,0.13549751860828582,False
1,Generic,nonfactual,-0.7565723435124019,False
1,Generic,factual,0.1545991067407779,False
1,Generic,nonfactual,-0.7273632804266633,False
1,Generic,factual,0.5740681549233944,False
1,Generic,factual,0.7669333335832553,False
1,Generic,nonfactual,0.02513670401671982,False
1,Context-relevant,nonfactual,-0.2426342257208627,False
1,Context-relevant,factual,0.3201768419475001,False
1,Context-relevant,nonfactual,-1.435864661243114,False
1,Context-relevant,factual,0.48925770686224385,False
1,Context-relevant,nonfactual,-0.6754171107756153,False
1,Context-relevant,factual,0.18502574209226227,False
1,Context-relevant,factual,-1.5536716257849719,False
1,Context-relevant,nonfactual,0.5360092994890486,False
1,Context-relevant,nonfactual,-1.2386076808324047,False
1,Context-relevant,factual,0.9033884997539094,False
1,Context-relevant,factual,-1.4761754133795735,False
1,Context-relevant,nonfactual,0.8757557244480276,False
2,Generic,factual,-3.4981770128608707,False
2,Generic,nonfactual,-3.333951000635406,False
2,Generic,nonfactual,-4.380776959919865,False
2,Generic,factual,-2.9438013175627655,False
2,Generic,nonfactual,-3.9861430827038085,False
2,Generic,factual,-3.0429718829160284,False
2,Generic,factual,-2.990741233916459,False
2,Generic,nonfactual,-3.71273514913264,False
2,Context-relevant,nonfactual,-3.5044912655927605,False
2,Context-relevant,factual,-3.0950938538207176,False
2,Context-relevant,nonfactual,-5.062987778350311,False
2,Context-relevant,factual,-2.597319698360002,False
2,Context-relevant,nonfactual,-3.1771633317746972,False
2,Context-relevant,factual,-3.154550852416593,False
2,Context-relevant,factual,-5.0087248009850365,False
2,Context-relevant,nonfactual,-3.0638225176115204,False
2,Context-relevant,nonfactual,-3.9709687947974013,False
2,Context-relevant,factual,-2.0563982176301936,False
2,Context-relevant,factual,-4.984429122927266,False
2,Context-relevant,nonfactual,-1.8216853444210628,False
3,Generic,factual,0.15068552883938077,False
3,Generic,nonfactual,-0.661235858432325,False
3,Generic,nonfactual,-1.1297961522942446,False
3,Generic,factual,-0.5451550571435677,False
3,Generic,nonfactual,-0.7675439127252905,False
3,Generic,factual,-0.8016415912834474,False
3,Generic,factual,0.01469686519248301,False
3,Generic,nonfactual,-1.0409111614931021,False
3,Context-relevant,nonfactual,-0.26417375765412054,False
3,Context-relevant,factual,-0.5333258382186365,False
3,Context-relevant,nonfactual,-1.3132389037135679,False
3,Context-relevant,factual,0.3250082733894224,False
3,Context-relevant,nonfactual,-0.6650367568714574,False
