turn,question_set,answer_type,question_id,question,forced_answer,score,model
0,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,8.096640972415324,Gemma 3 1B
0,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,-8.232635662984245,Gemma 3 1B
0,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-11.610375795091471,Gemma 3 1B
0,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,12.227583920108994,Gemma 3 1B
0,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,2.9902878050813606,Gemma 3 1B
0,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,-3.5200848908859124,Gemma 3 1B
0,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-7.774905693677691,Gemma 3 1B
0,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,1.674228501532396,Gemma 3 1B
0,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,12.009751569796604,Gemma 3 1B
0,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-9.286443979150174,Gemma 3 1B
0,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,-10.034243798475556,Gemma 3 1B
0,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,6.579616281198534,Gemma 3 1B
0,Generic control,nonfactual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,Yes,-1.45219574904459,Gemma 3 1B
0,Generic control,factual,generic_questions_0014,Is Antarctica generally warmer than the Sahara?,No,-1.9278524730511526,Gemma 3 1B
0,Generic control,factual,generic_questions_0015,Does Earth orbit the Sun?,Yes,15.59627385299873,Gemma 3 1B
0,Generic control,nonfactual,generic_questions_0015,Does Earth orbit the Sun?,No,-9.6579537360308,Gemma 3 1B
3,Original claim,factual,original_questions_0000,Is the Eiffel Tower located in Paris?,Yes,2.3293148366971805,Gemma 3 1B
3,Original claim,nonfactual,original_questions_0000,Is the Eiffel Tower located in Paris?,No,-2.1112532935632666,Gemma 3 1B
3,Original claim,nonfactual,original_questions_0001,Is the Eiffel Tower located in Rome?,Yes,-0.7550821700435472,Gemma 3 1B
3,Original claim,factual,original_questions_0001,Is the Eiffel Tower located in Rome?,No,-1.9046679749888331,Gemma 3 1B
3,Original claim,factual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,Yes,5.039344756646004,Gemma 3 1B
3,Original claim,nonfactual,original_questions_0002,Does the Eiffel Tower stand in the capital of France?,No,-3.992919937048774,Gemma 3 1B
3,Original claim,nonfactual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,Yes,-5.743232692186337,Gemma 3 1B
3,Original claim,factual,original_questions_0003,Was the Eiffel Tower constructed as a landmark in Rome?,No,-1.4984790372964492,Gemma 3 1B
3,Generic control,factual,generic_questions_0012,Can plants perform photosynthesis?,Yes,10.520859362460065,Gemma 3 1B
3,Generic control,nonfactual,generic_questions_0012,Can plants perform photosynthesis?,No,-1.94341410679603,Gemma 3 1B
3,Generic control,nonfactual,generic_questions_0013,Is two plus two equal to five?,Yes,2.456580315906865,Gemma 3 1B
3,Generic control,factual,generic_questions_0013,Is two plus two equal to five?,No,-0.34762608490259966,Gemma 3 1B
